Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,#VALUE!, -   ,#VALUE!,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,#VALUE!, -   ,#VALUE!,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,#VALUE!, -   ,#VALUE!,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,-53,21,-21,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,-13,61,-61,0,-74
Metro Vancouver Waste-to-Energy Facility,Greater Vancouver Sewerage and Drainage District,310873,-19098,291775,18938,310713,-160
Burrard Products Termi0l,Suncor Energy Inc.,12263,-96,12167,-96,12071,-192
Dillon / Brule Mine,Western Coal Corp.,202,-202,0,0,0,-202
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,9681,9905,-9905,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,8192,8416,-8416,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,7917,8141,-8141,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,779,1003,-1003,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,70126,70350,-70350,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,7002,7226,-7226,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,6915,7139,-7139,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,6094,6318,-6318,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,58549,58773,-58773,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,4581,4805,-4805,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,40812,41036,-41036,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,397855,398079,-398079,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,34360,34584,-34584,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,34301,34525,-34525,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,33414,33638,-33638,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,3176,3400,-3400,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,30745,30969,-30969,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,28449,28673,-28673,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,27755,27979,-27979,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,26319,26543,-26543,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,26100,26324,-26324,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,2261,2485,-2485,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,19578,19802,-19802,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,193238,193462,-193462,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,1860,2084,-2084,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,17640,17864,-17864,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,176,400,-400,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,17403,17627,-17627,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,14658,14882,-14882,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,14183,14407,-14407,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,14082,14306,-14306,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,13757,13981,-13981,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,1295,1519,-1519,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,1264,1488,-1488,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,12475,12699,-12699,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,122543,122767,-122767,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,113426,113650,-113650,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,#VALUE!, -   ,#VALUE!,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,#VALUE!, -   ,#VALUE!,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,#VALUE!, -   ,#VALUE!,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,#VALUE!, -   ,#VALUE!,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,-203,21,-21,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,224,-163,61,-61,0,-224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,9670,9905,-9905,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,8181,8416,-8416,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,7906,8141,-8141,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,768,1003,-1003,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,70115,70350,-70350,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,6991,7226,-7226,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,6904,7139,-7139,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,6083,6318,-6318,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,58538,58773,-58773,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,4570,4805,-4805,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,40801,41036,-41036,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,397844,398079,-398079,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,34349,34584,-34584,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,34290,34525,-34525,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,33403,33638,-33638,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,3165,3400,-3400,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,30734,30969,-30969,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,28438,28673,-28673,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,27744,27979,-27979,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,26308,26543,-26543,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,26089,26324,-26324,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,2250,2485,-2485,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,19567,19802,-19802,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,193227,193462,-193462,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,1849,2084,-2084,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,17629,17864,-17864,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,17392,17627,-17627,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,165,400,-400,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,14647,14882,-14882,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,14172,14407,-14407,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,14071,14306,-14306,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,13746,13981,-13981,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,1284,1519,-1519,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,1253,1488,-1488,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,12464,12699,-12699,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,122532,122767,-122767,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,113415,113650,-113650,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,#VALUE!, -   ,#VALUE!,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,#VALUE!, -   ,#VALUE!,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,#VALUE!, -   ,#VALUE!,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,#VALUE!, -   ,#VALUE!,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,-214,21,-21,0,-235
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,235,-174,61,-61,0,-235
Cypress B-099-C Sour Gas Plant,Canadian natural Resources Limited,10244,-1236,9008,904,9912,-332
Wargen D-056,Devon Canada Corporation,17933,-574,17359,219,17578,-355
Highland Valley Copper Mine,Teck Highland Valley Copper Partnership,17988,-1832,16156,1191,17347,-641
Boundary Lake 8-12,Chinook Energy Inc.,10255,-163,10092,-479,9613,-642
Noel Sweet Gas Plant,ConocoPhillips Canada Resources Corp.,47592,-1094,46498,448,46946,-646
Ring Border Sweet Gas Plant,ConocoPhillips Canada Resources Corp.,13151,356,13507,-1013,12494,-657
West Sukunka Facility,Talisman Energy Inc.,23413,5637,29050,-6306,22744,-669
Kemess South Mine,Northgate Minerals Corporation,699,#VALUE!, -   ,#VALUE!,0,-699
Boundary Lake Gas Plant (BC GP 0045),Imperial Oil Resources,9853,481,10334,-1287,9047,-806
Sunset Gas Processing and Production,Shell Canada Limited,18466,372,18838,-1285,17553,-913
West Tommy Lakes Comp Station 3 A-029-I,Enerplus Corporation,12739,-737,12002,-211,11791,-948
Conroy D-48-C/94-H-12,Polar Star Canadian Oil and Gas Inc.,13046,-13046,0,11968,11968,-1078
Ladyfern B-017-I Gas Plant,Canadian natural Resources Limited,22783,-2067,20716,972,21688,-1095
Nicola Valley Division,Tolko Industries Ltd.,12546,161,12707,-1267,11440,-1106
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,957,2084,-2084,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,8778,9905,-9905,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,7289,8416,-8416,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,7014,8141,-8141,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,69223,70350,-70350,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,6099,7226,-7226,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,6012,7139,-7139,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,57646,58773,-58773,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,5191,6318,-6318,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,39909,41036,-41036,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,396952,398079,-398079,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,392,1519,-1519,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,3678,4805,-4805,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,361,1488,-1488,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,33457,34584,-34584,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,33398,34525,-34525,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,32511,33638,-33638,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,29842,30969,-30969,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,27546,28673,-28673,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,26852,27979,-27979,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,25416,26543,-26543,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,25197,26324,-26324,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,2273,3400,-3400,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,192335,193462,-193462,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,18675,19802,-19802,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,16737,17864,-17864,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,16500,17627,-17627,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,13755,14882,-14882,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,1358,2485,-2485,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,13280,14407,-14407,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,13179,14306,-14306,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,12854,13981,-13981,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,121640,122767,-122767,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,11572,12699,-12699,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,112523,113650,-113650,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,#VALUE!, -   ,#VALUE!,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,#VALUE!, -   ,#VALUE!,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,#VALUE!, -   ,#VALUE!,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,#VALUE!, -   ,#VALUE!,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,-727,400,-400,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,-124,1003,-1003,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,-1106,21,-21,0,-1127
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,1127,-1066,61,-61,0,-1127
Jedney I Gas Plant,Spectra Energy Midstream Corporation,48186,-1414,46772,248,47020,-1166
FMC of Canada Facility,FMC of Canada Ltd.,16058,2832,18890,-4008,14882,-1176
Hartland Landfill,Maxim Power Corp.,12432,-2330,10102,1074,11176,-1256
Babcock Comp Stn D-099-E,Canadian natural Resources Limited,10048,-725,9323,-630,8693,-1355
Groundbirch Gas Processing and Production,Shell Canada Limited,10431,-10431,0,9018,9018,-1413
Booster Station 6 - Bluehills,Spectra Energy Transmission,17594,328,17922,-1954,15968,-1626
West Doe Plant,Spectra Energy Midstream Corporation,58634,3370,62004,-5009,56995,-1639
Ladyfern Comp Stn B-088-H,Canadian natural Resources Limited,11165,-394,10771,-1342,9429,-1736
Buick South Comp Stn D-078-I,Canadian natural Resources Limited,11174,2736,13910,-4510,9400,-1774
West Tommy Lakes Booster Station 1 C-028-K,Enerplus Corporation,14182,-1148,13034,-671,12363,-1819
Black Conroy Comp Stn B-094-J,NuVista Energy Ltd.,10277,-1619,8658,-221,8437,-1840
Heffley Creek Division,Tolko Industries Ltd.,15245,1839,17084,-3713,13371,-1874
Cutbank Comp Stn A-062-I,EnCana Corporation,8798,-2733,6065,564,6629,-2169
Graham Comp Stn C-076-K,Canadian natural Resources Limited,11289,1698,12987,-3878,9109,-2180
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,7520,9905,-9905,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,67965,70350,-70350,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,6031,8416,-8416,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,5756,8141,-8141,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,56388,58773,-58773,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,4841,7226,-7226,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,4754,7139,-7139,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,395694,398079,-398079,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,3933,6318,-6318,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,38651,41036,-41036,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,32199,34584,-34584,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,32140,34525,-34525,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,31253,33638,-33638,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,28584,30969,-30969,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,26288,28673,-28673,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,25594,27979,-27979,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,2420,4805,-4805,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,24158,26543,-26543,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,23939,26324,-26324,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,191077,193462,-193462,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,17417,19802,-19802,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,15479,17864,-17864,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,15242,17627,-17627,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,12497,14882,-14882,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,120382,122767,-122767,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,12022,14407,-14407,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,11921,14306,-14306,0,-2385
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,2385,11596,13981,-13981,0,-2385
